ranking,pais,codigo,puntos_totales,puntos_previos,delta,ultimos,
1,Spain,ESP,1877.18,1880.76,-3.58,D W W,
2,Argentina,ARG,1873.33,1872.43,0.9,W W,
3,France,FRA,1870,1862.71,7.29,W W,
4,England,ENG,1834.12,1824.3,9.82,W W W,
5,Brazil,BRA,1760.46,1758.85,1.61,D W L,
6,Portugal,POR,1760.38,1778,-17.62,W L D,
7,Netherlands,NED,1756.27,1759.96,-3.69,W D,
8,Belgium,BEL,1730.71,1740.01,-9.3,W D,
9,Germany,GER,1724.15,1713.3,10.85,W W,
10,Croatia,CRO,1716.88,1710.15,6.73,W W,
11,Morocco,MAR,1713.12,1710.11,3.01,W W W,
12,Italy,ITA,1702.06,1717.15,-15.09,L W W,
13,Colombia,COL,1701.3,1695.72,5.58,W W D,
14,USA,USA,1681.88,1673.49,8.39,W W W,
15,Mexico,MEX,1675.75,1682.52,-6.77,L D D,
16,Uruguay,URU,1672.62,1677.57,-4.95,L D,
17,Switzerland,SUI,1654.69,1653.32,1.37,D W,
18,Japan,JPN,1650.12,1645.34,4.78,W W W,
19,Senegal,SEN,1648.07,1650.61,-2.54,W L W,
20,IR Iran,IRN,1617.02,1618.28,-1.26,L W W,
21,Denmark,DEN,1616.75,1641.02,-24.27,L D,
22,Korea Republic,KOR,1599.45,1593.92,5.53,W W W,
23,Ecuador,ECU,1591.73,1589.72,2.01,W D D,
24,Austria,AUT,1585.51,1586.98,-1.47,D W,
25,Türkiye,TUR,1582.69,1570.18,12.51,D W W,
26,Australia,AUS,1574.01,1584.02,-10.01,L L L,
27,Canada,CAN,1559.15,1554.63,4.52,W D D,
28,Ukraine,UKR,1557.47,1555.36,2.11,W L,
29,Norway,NOR,1553.14,1532.14,21,W W D,
30,Panama,PAN,1540.43,1528.21,12.22,W W D,
31,Poland,POL,1532.04,1523.84,8.2,W D,
32,Wales,WAL,1529.71,1518.81,10.9,W W,
33,Russia,RUS,1524.52,1530.95,-6.43,L D W,
34,Egypt,EGY,1520.68,1525.31,-4.63,W L,
35,Algeria,ALG,1516.37,1510.26,6.11,W W W,
36,Scotland,SCO,1506.77,1504.2,2.57,W L,
